YouTube,Notes,Length,ID,Author_English,Title_English,Author_Marathi,Title_Marathi,Acts,Genre,First Performance Year,Submitted By,Males,Females,Pages,Property,Year of Writing,Availability,Certified By,Length (in minutes),Select,Performance Dates,Date,
None,,0,172,Devendraraj Ankur,Kathakaar Manch,देवेंद्रराज अंकुर,कथाकार मंच ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
"https://www.youtube.com/watch?v=Ox0Xq4o7NI8
https://www.youtube.com/watch?v=OXxACoJ0ev8",,0,22,Vijay Tendulkar ,Kanyadaan ,विजय तेंडुलकर,कन्यादान,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=-w_H_U9IQQc,,0:18:45,37,Vijay Tendulkar ,Kalokh,विजय तेंडुलकर,काळोख,1,,2024,Anand Ghanekar,2 (+),4 (+),0,,0,,,0,0,,,
none,,0,49,Vijay Tendulkar ,Kahi Khara Nahi,विजय तेंडुलकर,काही खरं नाही,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
none,,0,186,Vinda Karandikar,King Liar (Translation),विंदा करंदीकर,किंग लियर भाषांतर,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
Review video ; https://www.youtube.com/watch?v=ddTLNnS-5YY,,0,143,Shafaat Khan,Kisse,शफाअत खान,किस्से ,0,based on Panchtantra story concept,2024,Vijay Kenkare,4,,0,,0,,,0,0,,,
None,,0,190,दंडवते,Kulavruttant,दंडवते,कुलवृत्तांत ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=D3azzqM9PdA  https://www.youtube.com/watch?v=DA23hIjfCgM,,0,27,Yogesh Soman,Case No 99,योगेश सोमण,केस नं ९९,2,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,187,Dilip Purushottam CHitre,Kesal Kalabhor Pillu,दिलीप पुरुषोत्तम चित्रे,केसाळ काळभोर पिल्लू ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,134,Sanjay Pavar,Kon Mhantat Takka Dila,संजय पवार,कोण म्हणत टक्का दिला ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=pattOqOxFy8,,102,68,Laxman Londhe,Koham,लक्ष्मण लोंढे,कोहम,1,,2024,Chaitanya Godsay,0,0,0,,0,,,0,0,,,
none,,0,52,Niraj Shirvaikar,Khara Khara Saang,नीरज शिरवईकर,खरं खरं सांग,1,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=OmRV3TO9AS0 multiple parts available,,0,44,Madhurani Sapre,Khidki,मधुराणी सप्रे,खिडकी,1,,2024,मधुराणी सप्रे,0,0,0,,0,,,0,0,,,
None,,0,122,Pu La Deshpande,Khurchyaa,पु.ल. देशपांडे,खुर्च्या,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
,,0,24,Shirish Latkar,Khel,शिरीष लाटकर,खेळ,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,96,Jayant Naralikar,Gangadhar Pantanche Panipat,जयंत नारळीकर,गंगाधरपंतांचे पानिपत,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
" https://www.youtube.com/watch?v=um9kQmuMZFk
https://www.youtube.com/results?search_query=Yogesh+Soman+Gappa
https://www.youtube.com/watch?v=0KCkC5wvFsA",,0,6,Yogesh Soman,Gappa,योगेश सोमण,गप्पा,1,,2024,Samruddhi Ghaisas,0,0,0,,0,,,0,0,,,
None,,0,50,Pradip Vaidya,Gabhara,प्रदीप वैद्य,गाभारा,1,,2024,Sayli Apte,0,0,0,,0,,,0,0,,,
https://youtu.be/hl-LHvhdOiU?si=XZBtkPKVYx88dSRC,,0,160,Dr. Chandrashekhar Phansalkar,Girhaeek,डॉ. चंद्रशेखर फणसळकर,गिर्हाईक ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,21,Vinay Narayane ,Gunphan ,विनय नारायणे,गुंफण,1,,2024,Niranjan Page,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=TqdDhy_KTzY,English,0,119,Yasmina Reza,God of Carnage (English),यस्मीना रेझा,गॉड अॉफ कारनेज,2,,2024,Mugdha Godse,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=LXz9iu010JA,,0,48,Harry William,Gochi Shakuntal,हॅरी विलियम,गोची शाकुंतल,1,,2024,Sanjay Pachpande,0,0,0,,0,,,0,0,,,
None,,0,26,Pu La Deshpande,Goduchi Vaat ,पु.ल. देशपांडे,गोदूची वाट,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=dM0XK7CUEGY,,0,70,Vikram Watave,Chandrapur Chya Jangalat,विक्रम वाटवे,चंद्रपूरच्या जंगलात,1,,2024,Vikram Watave,0,0,0,,0,,,0,0,,,
None,,0,140,Achyut Vaze,Chal Re Bhoplya Tunuk Tunuk,अच्युत वझे,चल रे भोळ्या टुणूक टुणूक,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,163,Makarand Sathe,Charshe Koti Visarbhole,मकरंद साठे,चारशे कोटी विसरभोळे,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,149,Pradeep Rane,Chiutai Chiutai Daar Ughad,प्रदीप राणे,चिऊताई चिऊताई दार उघड,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://youtu.be/qNakDjt8ccQ?si=Kbb02AdIivZA8HGR,,0,28,Dilip Prabhavalkar,Chuk Bhul Dyavi Ghyavi,दिलीप प्रभावळकर,चूक भूल द्यावी घ्यावी,1,,2024,Sneha Gharpure,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=sihfnkHAubA,,0,64,Anup Upadhye,Chetana,अनूप उपाध्ये,चेतना,1,,2024,Anup Upadhye,0,0,0,,0,,,0,0,,,
none,,0,45,Vasant Sabnis,Chor Ale Pahijet,वसंत सबनीस,चोर आले पाहिजेत ,1,,2024,Sneha Gharpure,0,0,0,,0,,,0,0,,,
none,,0,166,Makarand Sathe,Chowk,मकरंद साठे,चौक ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,41,Rajesh Sharma,Chakke Panje,राजेश शर्मा,छक्के पंजे ,2,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=9r6ewoRKXHg,,0,61,Ratnakar Matkari,Javai Majha Bhala,रत्नाकर मतकरी  ,जावई माझा भला,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=3VZElNwI6HY&list=PL575BD16E11CC6B5A,clip,3,67,Baban Prabhu,Zopi Gelela Jaga Zala,बबन प्रभु,झोपी गेलेला जागा झाला,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
None,,0,80,Yogesh Shejwalkar,Tuntunapur,योगेश शेजवलकर,टुणटुणापूर,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
